,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
avg_salary[industry][0],10.503,0.044,10.42,10.587,0.0,0.0,21455.0,11911.0,1.0
avg_salary[industry][1],10.726,0.102,10.532,10.915,0.001,0.0,34520.0,12380.0,1.0
avg_salary[industry][2],10.755,0.046,10.667,10.84,0.0,0.0,30883.0,12962.0,1.0
avg_salary[industry][3],11.161,0.033,11.1,11.225,0.0,0.0,37325.0,12162.0,1.0
avg_salary[industry][4],11.292,0.026,11.245,11.342,0.0,0.0,33968.0,11985.0,1.0
avg_salary[industry][5],11.174,0.032,11.114,11.234,0.0,0.0,32922.0,11945.0,1.0
avg_salary[industry][6],11.54,0.077,11.394,11.683,0.0,0.0,34203.0,11269.0,1.0
avg_salary[industry][7],11.116,0.023,11.073,11.159,0.0,0.0,31251.0,12033.0,1.0
avg_salary[industry][8],11.181,0.04,11.104,11.255,0.0,0.0,33780.0,12297.0,1.0
avg_salary[industry][9],11.194,0.023,11.152,11.237,0.0,0.0,28556.0,12128.0,1.0
avg_salary[industry][10],10.898,0.045,10.814,10.982,0.0,0.0,33311.0,12468.0,1.0
avg_salary[industry][11],11.357,0.035,11.287,11.421,0.0,0.0,33807.0,11542.0,1.0
avg_salary[industry][12],11.417,0.027,11.367,11.468,0.0,0.0,32906.0,10731.0,1.0
avg_salary[industry][13],10.868,0.022,10.826,10.908,0.0,0.0,31769.0,11112.0,1.0
avg_salary[industry][14],11.056,0.039,10.982,11.128,0.0,0.0,26383.0,13326.0,1.0
avg_salary[industry][15],11.695,0.066,11.574,11.82,0.0,0.0,36180.0,9572.0,1.0
beta_exp[0],0.319,0.041,0.243,0.395,0.0,0.0,17531.0,13358.0,1.0
beta_exp[1],0.215,0.066,0.092,0.339,0.0,0.0,26263.0,12289.0,1.0
beta_exp[2],0.202,0.04,0.126,0.278,0.0,0.0,29378.0,12318.0,1.0
beta_exp[3],0.234,0.033,0.169,0.294,0.0,0.0,32265.0,12719.0,1.0
beta_exp[4],0.153,0.027,0.102,0.203,0.0,0.0,33262.0,11985.0,1.0
beta_exp[5],0.172,0.03,0.116,0.229,0.0,0.0,32151.0,11725.0,1.0
beta_exp[6],0.206,0.061,0.087,0.317,0.0,0.0,30030.0,11508.0,1.0
beta_exp[7],0.156,0.023,0.112,0.199,0.0,0.0,31181.0,11820.0,1.0
beta_exp[8],0.242,0.039,0.167,0.315,0.0,0.0,29399.0,12089.0,1.0
beta_exp[9],0.214,0.023,0.171,0.258,0.0,0.0,27885.0,12642.0,1.0
beta_exp[10],0.273,0.041,0.194,0.348,0.0,0.0,25914.0,11843.0,1.0
beta_exp[11],0.133,0.038,0.06,0.202,0.0,0.0,28661.0,10943.0,1.0
beta_exp[12],0.117,0.029,0.062,0.173,0.0,0.0,29179.0,12110.0,1.0
beta_exp[13],0.289,0.022,0.25,0.331,0.0,0.0,29286.0,12153.0,1.0
beta_exp[14],0.157,0.034,0.093,0.221,0.0,0.0,24077.0,12701.0,1.0
beta_exp[15],0.135,0.057,0.029,0.245,0.0,0.0,24497.0,12477.0,1.0
shape,3.424,0.069,3.295,3.557,0.0,0.0,33993.0,12208.0,1.0
